Date,Commodity No,Commodity ,UN code ,Country Name,Import Value (BD),Import Value (USA $),Import Weight (KG),Import Quantity,UM
11/1/2020,90049090,OTHER GOGGLES,US,UNITED STATES OF AMERICA,858.6875127,2283.743385,10.96,37,NO
11/1/2020,90059000,"PARTS AND ACCESSORIES FOR BINOCULARS, TELESCOPES ETC.",DE,GERMANY,311.3005854,827.9270888,7.1,7.1,KG
11/1/2020,90063000,"CAMERAS FOR UNDERWATER, AERIAL OR MEDICAL USES",TW,TAIWAN,333.4840748,886.9257307,2,1,NO
11/1/2020,90064000,INSTANT PRINT CAMERAS,CN,CHINA,276.231274,734.6576435,11.5,5,NO
11/1/2020,90065100,"CAMERAS WITH VIEWFINDER, FILM 35 MM OR LESS WIDE",AE,UNITED ARAB EMIRATES,279.1676,742.4670213,51,11,NO
11/1/2020,90065100,"CAMERAS WITH VIEWFINDER, FILM 35 MM OR LESS WIDE",CN,CHINA,115.3045392,306.6610085,1,1,NO
11/1/2020,90065900,OTHER CAMERAS,TW,TAIWAN,2208.345,5873.257979,2,1,NO
11/1/2020,90069100,CAMERA PARTS,DE,GERMANY,1610.331,4282.795213,0.91,0.91,KG
11/1/2020,90069100,CAMERA PARTS,TW,TAIWAN,418.9282805,1114.170959,124.6,124.6,KG
11/1/2020,90105000,OTHER APPARATUS AND EQUIPMENT FOR PHOTOGRAPHIC (INCLUDING CINEMATOGRAPHIC) LABO RATORIES ; NEGATOSCOPES,CN,CHINA,137.3722931,365.3518434,80,1,NO
11/1/2020,90106000,PROJECTION SCREENS,FZ,FREE ZONE JABAL ALI,423.2532855,1125.673632,62.397,1,NO
11/1/2020,90106000,PROJECTION SCREENS,US,UNITED STATES OF AMERICA,5265.580637,14004.20382,438.364,8,NO
11/1/2020,90109000,PARTS AND ACCESSORIES FOR PHOTOGRAPHIC LABS,CN,CHINA,277.75,738.6968085,10,10,KG
11/1/2020,90118000,OTHER OPTICAL MICROSCOPES,JP,JAPAN,759.682,2020.430851,18.18,1,NO
11/1/2020,90121000,MICROSCOPES OTHER THAN OPTICAL MICROSCOPES,SA,SAUDI ARABIA,488.5963782,1299.458453,17.5,1,NO
11/1/2020,90138020,"MAGIC EYES FOR DOORS, OVENS AND THE LIKE",CN,CHINA,124.7828878,331.8693824,6,150,NO
11/1/2020,90138030,"FLAT MONITORS (INCLUDING LCD MONITORS, PLASMA, ELECTRO-LUMINESCENCE, VACUUM- FLOURESCENCE AND OTHER MONITORS TECHNIQUES) OF PRODCTS OF INFORMATION TECHNIQUE AGREEMENT",US,UNITED STATES OF AMERICA,193.5989641,514.8908619,1,1,NO
11/1/2020,90138090,OTHER OPTICAL APPLIANCES AND INSTRUMENTS,CH,SWITZERLAND,82.62144662,219.7378899,2.4,1,NO
11/1/2020,90138090,OTHER OPTICAL APPLIANCES AND INSTRUMENTS,IN,INDIA,32.85076544,87.36905702,3.825,4,NO
11/1/2020,90141000,DIRECTION FINDING COMPASSES,US,UNITED STATES OF AMERICA,495.358378,1317.442495,17,15,NO
11/1/2020,90142000,INSTRUMENTS FOR AERONAUTICAL OR SPACE NAVIGATION,FR,FRANCE,156.4504,416.0914894,13.5,2,NO
11/1/2020,90148000,OTHER INSTRUMENTS AND APPLIANCES FOR NAVIGATION,CA,CANADA,124.5075876,331.137201,1.356,1.356,NO
11/1/2020,90148000,OTHER INSTRUMENTS AND APPLIANCES FOR NAVIGATION,CN,CHINA,639.0064458,1699.485228,6,54,NO
11/1/2020,90148000,OTHER INSTRUMENTS AND APPLIANCES FOR NAVIGATION,GB,UNITED KINGDOM,530.003875,1409.584774,10,1,NO
11/1/2020,90151000,RANGEFINDERS,CN,CHINA,102.176789,271.7467793,40,40,NO
11/1/2020,90151000,RANGEFINDERS,DE,GERMANY,509.7704552,1355.772487,130.383,5,NO
